レベルID  3xx1xx（3 +  xx(武器識別ID) + レベルデータ識別ID(1) + xx(レベル識別 )）,ダメージ,移動速度,攻撃生成のクールタイム,個数,攻撃の存在時間,サイズの倍率
301101,2,0,0,1,1,1
301102,3,0,0,1,1,1
301103,5,0,0,1,1,1
301104,5,0,0,1,1,1
301105,8,0,0,1,1,1
301106,10,0,0,1,1,1
301107,20,0,0,1,1,1
301108,25,0,0,1,1,1
302101,8,0,4,5,1,1
302102,8,0,4,6,1,1
302103,10,0,3,8,1,1
302104,10,0,3,10,1,1
302105,20,0,3,10,1,1
302106,20,0,3,15,1,1
302107,25,0,2,20,1,1
302108,30,0,1,20,1,1
303101,3,10,10,10,10,1
303102,5,10,10,10,10,1
303103,5,11,10,15,10,1
303104,7,11,10,20,10,1
303105,10,12,10,20,10,1
303106,15,15,10,25,10,1
303107,20,15,10,20,10,1
303108,20,15,8,30,10,1
303109,25,15,7,30,10,1
303110,30,15,6,35,20,1
304101,5,10,0.3,1,10,1
304102,7,10,0.2,2,10,1
304103,8,11,0.2,3,10,1
304104,8,12,0.2,3,10,1
304105,10,12,0.2,4,10,1
304106,20,13,0.2,4,10,1
304107,20,15,0.1,4,10,1
304108,20,15,0.1,5,10,1
